Date,Tournament,Surface,Best of,Winner,Loser,WRank,LRank,PSW,PSL
25/09/2025,Cincinnati,Hard,3,Nadeau L.,Eklund B.,141,48,2.37,1.66
25/09/2025,Cincinnati,Hard,3,Abbott K.,Rossi P.,6,174,1.04,15.0
25/09/2025,Cincinnati,Hard,3,Laurent Q.,Pires P.,108,156,1.75,2.21
25/09/2025,Cincinnati,Hard,3,Ulrich Z.,Xenos O.,201,222,1.7,2.29
25/09/2025,Cincinnati,Hard,3,Barros J.,Laurent W.,15,111,1.23,4.67
25/09/2025,Cincinnati,Hard,3,Tanner W.,Xenos U.,195,225,1.41,3.18
25/09/2025,Cincinnati,Hard,3,Quist Z.,Weiss L.,165,216,1.41,3.16
25/09/2025,Cincinnati,Hard,3,Dorn F.,Jansen D.,39,93,1.47,2.88
25/09/2025,Cincinnati,Hard,3,Abbott E.,Tanner Y.,3,198,1.14,6.76
25/09/2025,Cincinnati,Hard,3,Holm N.,Mertens D.,87,120,1.67,2.34
25/09/2025,Cincinnati,Hard,3,Keller A.,Mertens O.,102,129,1.68,2.33
25/09/2025,Cincinnati,Hard,3,Eklund M.,Zeller P.,51,240,1.18,5.67
25/09/2025,Cincinnati,Hard,3,Novak Z.,Novak H.,147,144,2.08,1.83
26/09/2025,Cincinnati,Hard,3,Castell K.,Pires V.,27,159,1.15,6.49
26/09/2025,Cincinnati,Hard,3,Young V.,Weiss L.,231,216,2.35,1.67
26/09/2025,Cincinnati,Hard,3,Falk N.,Jansen D.,57,93,1.61,2.48
26/09/2025,Cincinnati,Hard,3,Cerny J.,Rossi Q.,33,177,1.17,5.89
26/09/2025,Cincinnati,Hard,3,Hale V.,Stahl C.,84,180,1.31,3.85
26/09/2025,Cincinnati,Hard,3,Arden H.,Varga G.,9,207,1.19,5.37
26/09/2025,Cincinnati,Hard,3,Hale C.,Rossi P.,75,174,1.44,3.02
26/09/2025,Cincinnati,Hard,3,Tanner A.,Novak H.,186,144,2.61,1.56
26/09/2025,Cincinnati,Hard,3,Ostrov G.,Laurent Q.,150,108,2.21,1.75
26/09/2025,Cincinnati,Hard,3,Gomez Q.,Stahl F.,66,183,1.53,2.69
26/09/2025,Cincinnati,Hard,3,Mertens D.,Mertens R.,120,132,1.94,1.96
26/09/2025,Cincinnati,Hard,3,Eklund B.,Varga D.,48,204,1.03,18.73
26/09/2025,Cincinnati,Hard,3,Laurent W.,Varga R.,111,210,1.48,2.87
27/09/2025,US Open,Hard,5,Cerny J.,Gomez X.,33,72,1.39,3.25
27/09/2025,US Open,Hard,5,Gomez H.,Stahl C.,63,180,1.28,4.09
27/09/2025,US Open,Hard,5,Cerny G.,Duval N.,30,45,1.54,2.67
27/09/2025,US Open,Hard,5,Abbott K.,Eklund M.,6,51,1.48,2.87
27/09/2025,US Open,Hard,5,Xenos I.,Young W.,219,234,1.57,2.57
27/09/2025,US Open,Hard,5,Novak Z.,Stahl F.,147,183,1.52,2.72
27/09/2025,US Open,Hard,5,Mertens F.,Quist Z.,123,165,1.84,2.07
27/09/2025,US Open,Hard,5,Castell H.,Mertens R.,24,132,1.12,7.65
27/09/2025,US Open,Hard,5,Barros J.,Gomez U.,15,69,1.35,3.53
27/09/2025,US Open,Hard,5,Cerny Q.,Tanner Y.,36,198,1.14,6.71
27/09/2025,US Open,Hard,5,Brook T.,Weiss L.,21,216,1.2,5.13
27/09/2025,US Open,Hard,5,Gomez Q.,Ulrich Z.,66,201,1.18,5.68
28/09/2025,US Open,Hard,5,Mertens O.,Engel Y.,129,54,2.68,1.54
28/09/2025,US Open,Hard,5,Hale F.,Gomez H.,81,63,2.6,1.56
28/09/2025,US Open,Hard,5,Rossi Q.,Tanner W.,177,195,2.03,1.87
28/09/2025,US Open,Hard,5,Gomez Q.,Mertens R.,66,132,1.62,2.45
28/09/2025,US Open,Hard,5,Falk U.,Varga R.,60,210,1.23,4.77
28/09/2025,US Open,Hard,5,Castell K.,Zeller P.,27,240,1.11,7.84
28/09/2025,US Open,Hard,5,Jovic F.,Tanner N.,99,189,1.52,2.74
28/09/2025,US Open,Hard,5,Rossi N.,Varga D.,171,204,1.62,2.44
28/09/2025,US Open,Hard,5,Abbott E.,Xenos U.,3,225,1.05,13.89
29/09/2025,US Open,Hard,5,Arden R.,Dorn R.,12,42,1.56,2.6
29/09/2025,US Open,Hard,5,Nadeau L.,Rossi N.,141,171,1.81,2.11
29/09/2025,US Open,Hard,5,Laurent W.,Keller A.,111,102,1.95,1.95
29/09/2025,US Open,Hard,5,Abbott E.,Pires G.,3,153,1.08,9.75
29/09/2025,US Open,Hard,5,Falk N.,Tanner A.,57,186,1.26,4.36
