start,tournament,surface,player1,player2,back1,lay1,back2,lay2
2026-09-25 04:45:00,Demo Open,Hard,Jonas Cerny,Pablo Zeller,1.03,1.06,24.75,25.5
2026-09-25 05:30:00,Demo Open,Hard,Quentin Cerny,Felix Jovic,1.33,1.37,3.88,3.99
2026-09-25 06:15:00,Demo Open,Hard,Wu Young,Gael Ostrov,7.49,7.71,1.14,1.18
2026-09-25 07:00:00,Demo Open,Hard,Gael Varga,Quentin Gomez,4.74,4.89,1.25,1.29
2026-09-25 07:45:00,Demo Open,Hard,Ugo Xenos,Yannick Tanner,3.42,3.53,1.39,1.44
2026-09-25 08:30:00,Demo Open,Hard,Yannick Tanner,Rafael Mertens,5.97,6.15,1.19,1.22
2026-09-25 09:15:00,Demo Open,Hard,Luca Nadeau,Wu Tanner,1.5,1.54,2.92,3.01
2026-09-25 10:00:00,Demo Open,Hard,Karl Abbott,Quentin Gomez,1.19,1.22,6.0,6.19
2026-09-25 10:45:00,Demo Open,Hard,Jonas Quist,Daniil Varga,1.6,1.65,2.59,2.67
2026-09-25 11:30:00,Demo Open,Hard,Rafael Dorn,Hugo Arden,2.58,2.66,1.61,1.66
2026-09-25 12:15:00,Demo Open,Hard,Gael Ostrov,Alex Rossi,1.69,1.74,2.39,2.47
2026-09-25 13:00:00,Demo Open,Hard,Hugo Castell,Xavier Young,1.03,1.06,24.75,25.5
2026-09-25 13:45:00,Demo Open,Hard,Daniil Varga,Ben Eklund,5.64,5.81,1.2,1.24
2026-09-25 14:30:00,Demo Open,Hard,Alex Tanner,Hugo Castell,10.5,10.82,1.09,1.13
2026-09-25 15:15:00,Demo Open,Hard,Alex Keller,Jonas Cerny,2.82,2.91,1.52,1.57
2026-09-25 16:00:00,Demo Open,Hard,Hugo Novak,Rafael Varga,1.33,1.37,3.86,3.98
2026-09-25 16:45:00,Demo Open,Hard,Jonas Quist,Hugo Castell,5.23,5.39,1.22,1.26
2026-09-25 17:30:00,Demo Open,Hard,Wu Lindqvist,Ugo Gomez,2.16,2.22,1.83,1.88
2026-09-25 18:15:00,Demo Open,Hard,Xavier Young,Oscar Jansen,24.75,25.5,1.03,1.06
2026-09-25 19:00:00,Demo Open,Hard,Carlos Hale,Pablo Zeller,1.09,1.13,10.6,10.92
2026-09-25 19:45:00,Demo Open,Hard,Ugo Falk,Wu Young,1.23,1.27,5.11,5.26
2026-09-25 20:30:00,Demo Open,Hard,Viktor Pires,Oscar Xenos,1.33,1.37,3.87,3.99
2026-09-25 21:15:00,Demo Open,Hard,Gael Pires,Rafael Mertens,2.46,2.54,1.66,1.71
2026-09-25 22:00:00,Demo Open,Hard,Felix Weiss,Rafael Dorn,9.72,10.01,1.1,1.14
